Name,Years,Origin,Sponsors
Jesus Cabaleiro Casal (Calatrava),19, Vigo, Novalbos
ALEJANDRO PEREIRA BECERRA (ALEX),9, LA CORUÑA, ESCUELA MAROÑA INDOOR
Lucas Amador llopez ( Yunk),20, Valencia, Villains new balance concaos
George Poole (Georgio),20,France,"RVCA Europe, Collapse skateboards, DVS Shoes, Buzzz Skateshop, Dakine Europe"
Marcelo Herrero (Purito),19,Lanzarote,Pampero
Jonathan Martínez martos ( Wester),27, Madrid, Inparkvaldemoro
Matheron Vincent,19,France,"Red Bull, DC Shoes, Volvom, Creature, Independent, Bones, Stance, Select Skateshop"
Aurelien Giraud,19,"Lyon, France","Nike, Plan B, Skullcandy, Nixon, GoPRO, Independent, Spitfire, Grizzly"
Pedro Miguel Pérez Romero ( El Parçe),33, Colombia - Bogotá," Switch People skateboarshop , sport2002 , santacruzskateboards"
Jose Manuel Hernandez Molina,26, lanzarote islas canarias, extreme center lanzarote
JULEN GONZALEZ ARSUAGA ( JULEN),13, SAN SEBASTIAN,
Adrian Santos Gonzalez,21, Lanzarote Islas Canarias, Extreme Center Lanzarote
Antoni Oro Gonzalez ( El gran toni),7, Mallorca, Switchpeople
Luis David de La Fuente Tinaquero,0,0,0
name,Years,Origin,Sponsors
Alan Krell De Souza ( Dsouza),16, Palma de Mallorca, Kingdomskateboardshop
Aleksandr Golovanov ( Ruso),29, Rusia, New wave
Luis Cabarcos MEndez,6, A coruña,
Gabriel Salazar Lazaro,0,Madrid,0
Mario Arriaran Abascal,0,Santander,0
Adrián G Cárceles,25,Barcelona,"Adidas, Santa cruz, Indy, OJ, SkateHastaQueMeMate"
Álvaro Sancho Agustín,22,Miranda de Ebro,
Ian Campbell Bartolome,21, San Sebastian," Cruzade skateboards, Stance socks"
Milou Vincent,21,Tarnos,"Globa, Wasted Paris, Willy Workshop"
HUGO BOLON GONZALEZ,13, SANTIAGO DE COMPOSTELA,
Eduardo Leite Prieto ( Prieto),23, Brasil,
Jorge Mosquera Vales ( COKE  MINIMOSK8),12, España, VAZVA SB   J
Santino Exenberger,0,Austria,"Picotto Skateshop, Independent trucks, Muckfuck, Titus Tornados, Glorify, 24/7 distribution, Etnies"
Bruno Marques ( Bruno),26, España,
Victor Bolado Obregón,20,Torkelavega,
Alexander Cook,0,0,0
Unai Centeno Chaoartegui ( Unai),17, Madrid,
JAVIER CABREJAS BASCUÑÁN ( CABREJAS),25,Toledo, Southpark indoor Toledo
Ricardo Cristina Ortiz (Borat),21,Toledo,"Maple, Shouthpark Indoor"
Carlos Rodríguez (Kano),20,Toledo,"Maple Sk8, Southpark Indoor"
Roberto Escobar Ovejero ( Grindy),24," España, Toledo"," Escuela Hogwarts, Grindindor."
Ronan Lishchynskyy,21,Barcelona,"Hydrophonic, Spotterwax (flow)"
Cristian Sanchez,30,Barcelona,"Panorama, Reell, Eina, Ricta, KOOX, Converse"
Pedro Fangueiro,20,Povoa de Varzin,"Serew Skateboards, Mola wheels"